"record_id","sell","price_usd","kilometers","miles","year","maker","model"
37666,0,3050.,207239,128772.,1980.,"Toyota","Corolla"
37717,1,212.5,329069,204474.,1992.,"Toyota","Corolla"
37807,0,5800.,45062,28000.,2003.,"Toyota","Corolla"
38232,0,12800.,15450,9600.,2005.,"Toyota","Corolla"
38386,0,8600.,98170,61000.,2004.,"Toyota","Corolla"
38469,0,2050.,197182,122523.,1998.,"Toyota","Corolla"
38471,0,2651.,197182,122523.,1998.,"Toyota","Corolla"
38476,0,1330.,225952,140400.,1995.,"Toyota","Corolla"
38737,1,1835.,264394,164287.,1995.,"Toyota","Corolla"
38951,0,7700.,61316,38100.,2004.,"Toyota","Corolla"
38971,1,8100.,93342,58000.,2003.,"Toyota","Corolla"
38972,1,7995.,93342,58000.,2003.,"Toyota","Corolla"
39017,0,4750.,150617,93589.,2001.,"Toyota","Corolla"
